track_name,artist_name,album_name,duration_minutes,spotify_url
Vapour,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,1:50,https://open.spotify.com/track/67mZsqWjkuBQB9h6x1VVLu
Secret Corporation,Ambience Mastery,Cyberpunk City Night Ambience,5:18,https://open.spotify.com/track/2B8zTyWdqCGJM11TXeEgqE
Ambient Dark Academia,Study Music Project,Final Chapter,1:53,https://open.spotify.com/track/3BbMVWHGffeDb0nsTrYCxr
Zombie Apocalypse,Mystical Soundscapes,Zombie Apocalypse,4:34,https://open.spotify.com/track/7kbbx4MJQ8g3gINnTLEhTl
Floating,Loscil,"The Sails, Pt. 2",5:06,https://open.spotify.com/track/4qLvUuA3zvTboom93CUJ9s
Instrumental,Austere,Bleak...,1:52,https://open.spotify.com/track/1CGh3jn3fER7ef6OGVIzSg
Resurrection in Black,Conquering Dystopia,Conquering Dystopia,1:01,https://open.spotify.com/track/0XgALjgFW8rLkIAo2Bzpek
Dark Occult Ambient,Myers Music,Dark Occult Ambient,8:48,https://open.spotify.com/track/4NTZNQMznuyO0OAi8AWpVn
"Dark Spaces (suspense, exploration)",Tabletop Rpg Music,Tabletop RPG Music: Volume 5,2:58,https://open.spotify.com/track/09cYtN2ZtJLGmocztwFqjH
Ambient Background,AndrisMusic,Relaxation Albums,2:49,https://open.spotify.com/track/48Ya0OxSFUsftxDh24Yg68
Exodus (Intro),Aviators,Dystopian Fiction,3:15,https://open.spotify.com/track/4eaVeSMTgN4KBrt3gsi4lW
Atmospheric Inspiring Piano,DS Productions,Atmospheric Inspiring Piano,2:59,https://open.spotify.com/track/606lhKCyXEYsHgdoutrLxv
Dystopian Post Apocalyptic Future Toxic Land Atmosphere 002,Background Music Soundtrack,Dystopian Post Apocalyptic Future Toxic Land Atmospheres,2:20,https://open.spotify.com/track/1BdVnAbgvYf3adYOErJwHl
Golden - Instrumental,HUNTR/X,Golden (from the Netflix film KPop Demon Hunters),3:12,https://open.spotify.com/track/5LByxLn1X1Q9vr0xa4ZLYf
I'm God,Clams Casino,Instrumental Relics,4:37,https://open.spotify.com/track/0FVuyC9RP5MACjp4lgU3qZ
Butterflies (Right Now) - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:29,https://open.spotify.com/track/7bsCG3Lue5CsaXJjbsmXaw
Birthday - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:28,https://open.spotify.com/track/1sydXpWI5xzy944HwAKebN
The Instrumental (feat. Jonah Matranga),Lupe Fiasco,Lupe Fiasco's Food & Liquor,3:26,https://open.spotify.com/track/1gsnHGopfdevZt7gbmygOq
Slide - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:58,https://open.spotify.com/track/0ADyaaU1uuf6lhZmMCbPMD
Clap - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],2:42,https://open.spotify.com/track/5JiY78lriMYy6z2LEbpqJ0
Walk Humbly - Instrumental,Hillside Recording,Worship Instrumentals Volume I,1:35,https://open.spotify.com/track/5hryMWmhAOowUAmLeaftQo
remember - Instrumental,Khamir Music,remember (Instrumental),1:46,https://open.spotify.com/track/6QNEut6P3p3a2rG729wEra
Act Justly - Instrumental,Hillside Recording,Worship Instrumentals Volume I,2:08,https://open.spotify.com/track/7p8c9hCDDVF6I2CdwbS7yP
Yes I Will - Instrumental,The Worship Initiative Instrumentals,"The Worship Initiative Instrumentals, Vol. 17-26",3:55,https://open.spotify.com/track/22z8oMNFSg4jMwKzgLUwGt
free - Instrumental,Khamir Music,free (Instrumental),2:10,https://open.spotify.com/track/0uw0kMWuNDQPog9blAzPcT
Still - Instrumental,Khamir Music,Still (Instrumental),1:47,https://open.spotify.com/track/2iQksiwnkhxMUieONKstDl
Home (Instrumental),Khamir Music,Home (Instrumental),1:40,https://open.spotify.com/track/7EUsW2E71bRmoSfsCAUnuh
Instrumental,The Microphones,"The Glow, Pt. 2",1:38,https://open.spotify.com/track/4b9pSvIz68kJOxE7dBccRJ
Christmas Eve / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra,Christmas Eve and Other Stories,3:25,https://open.spotify.com/track/3sBnSBnzpEYKpJYGsAIbup
in the pool,kensuke ushio,CHAINSAW MAN THE MOVIE: REZE ARC original soundtrack -summer's end-,4:05,https://open.spotify.com/track/1AvuBt1hrjsHeBxFX91Rn6
WTF Goin - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:13,https://open.spotify.com/track/2GWYNsf8WON5Mc3KLumLh3
Overly Trimm - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],3:47,https://open.spotify.com/track/3nu4XfEs79j3snc4il2fBH
I Go - Instrumental,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz) [Instrumentals],2:34,https://open.spotify.com/track/2JYy6PdNcN7LurdbdpCx5q
